,M1,M2,M3,M4,M5
Sampling1,91.70305676855895,97.81659388646288,98.90829694323145,67.46724890829694,86.02620087336244
Sampling2,91.70305676855895,99.12663755458514,100.0,75.10917030567686,98.90829694323145
Sampling3,33.33333333333333,66.66666666666666,50.0,66.66666666666666,66.66666666666666
Sampling4,90.41394335511983,96.94989106753813,98.91067538126362,66.23093681917211,83.44226579520696
Sampling5,91.94630872483222,95.74944071588367,99.10514541387025,66.8903803131991,84.3400447427293
